Draw Date,Winning Numbers,Power Play,Jackpot,Winners,State1 ,State2 ,State3,State4
2/3/2010,17 22 36 37 52 24,2,$116 Million,R,,,,
2/6/2010,14 22 52 54 59 04,3,$141 Million,1,NC,,,
2/10/2010,05 08 29 37 38 34,5,$20 Million,R,,,,
2/13/2010,10 14 30 40 51 01,4,$29.5 Million,R,,,,
2/17/2010,07 08 19 26 36 15,3,$44.2 Million,R,,,,
2/20/2010,13 27 37 41 54 32,2,$61.7 Million,R,,,,
2/24/2010,04 17 35 50 57 12,2,$78.2 Million,R,,,,
2/27/2010,18 47 51 53 58 30,2,$96.5 Million,R,,,,
3/3/2010,07 09 14 45 49 23,4,$118 Million,R,,,,
3/6/2010,10 29 33 41 59 15,2,$144 Million,R,,,,
3/10/2010,17 21 37 41 50 01,2,$172 Million,R,,,,
3/13/2010,06 16 20 31 36 08,5,$211 Million,1,NJ,,,
3/17/2010,24 26 45 48 55 08,2,$20 Million,R,,,,
3/20/2010,09 36 39 44 45 09,2,$30.3 Million,R,,,,
3/24/2010,14 20 24 39 49 07,3,$45.2 Million,R,,,,
3/27/2010,07 21 32 44 52 10,4,$65.2 Million,R,,,,
3/31/2010,05 13 17 45 54 12,5,$82.8 Million,R,,,,
4/3/2010,10 15 31 52 59 04,4,$103 Million,R,,,,
4/7/2010,04 36 40 44 52 33,2,$125 Million,R,,,,
4/10/2010,21 22 49 52 58 34,2,$150 Million,R,,,,
4/14/2010,06 14 32 38 52 20,3,$177 Million,R,,,,
4/17/2010,05 21 22 41 49 15,5,$212 Million,R,,,,
4/21/2010,11 34 41 49 55 20,2,$258 Million,1,MO,,,
4/24/2010,01 12 53 56 57 05,2,$20 Million,R,,,,
4/28/2010,12 22 25 28 44 24,4,$30.2 Million,R,,,,
5/1/2010,16 23 25 49 58 20,4,$46.6 Million,R,,,,
5/5/2010,13 34 40 47 57 11,4,$62.8 Million,R,,,,
5/8/2010,05 22 34 41 57 31,5,$78.9 Million,R,,,,
5/12/2010,37 51 52 53 58 38,2,$97.3 Million,R,,,,
5/15/2010,15 21 23 28 36 20,2,$122 Million,R,,,,
5/19/2010,02 07 29 55 58 27,3,$145 Million,R,,,,
5/22/2010,19 20 40 47 57 29,2,$164 Million,R,,,,
5/26/2010,01 06 10 13 20 32,4,$190 Million,R,,,,
5/29/2010,01 03 24 28 41 10,4,$224 Million,R,,,,
6/2/2010,04 09 14 39 43 38,4,$261 Million,1,OH,,,
6/5/2010,18 34 40 48 59 25,4,$20 Million,R,,,,
6/9/2010,14 22 27 32 49 05,4,$29 Million,R,,,,
6/12/2010,09 12 13 35 38 30,10,$45.7 Million,R,,,,
6/16/2010,08 11 18 29 36 06,5,$61.5 Million,R,,,,
6/19/2010,09 30 31 50 54 39,3,$79.1 Million,R,,,,
6/23/2010,11 30 45 47 48 10,3,$96.9 Million,2,MT,OH,,
6/26/2010,13 30 32 38 57 25,4,$20 Million,R,,,,
6/30/2010,06 38 43 47 48 27,5,$27.4 Million,R,,,,
7/3/2010,03 10 14 52 53 03,3,$42.1 Million,R,,,,
7/7/2010,10 41 44 48 56 04,2,$56 Million,R,,,,
7/10/2010,20 21 27 28 56 04,4,$73.8 Million,1,FL,,,
7/14/2010,20 21 23 38 42 06,3,$20 Million,R,,,,
7/17/2010,22 27 35 37 45 03,4,$25.6 Million,R,,,,
7/21/2010,16 22 30 51 58 25,3,$38.6 Million,R,,,,
7/24/2010,20 30 38 46 59 27,2,$53.9 Million,R,,,,
7/28/2010,01 11 20 25 27 02,5,$68.5 Million,R,,,,
7/31/2010,01 16 17 41 57 15,3,$85.7 Million,1,LA,,,
8/4/2010,19 28 30 37 53 36,4,$20 Million,R,,,,
