What is your gender?,Have you *ever played* the PowerBall lottery?,How many times a *month* do you play the PowerBall?,How do you pick your numbers?,Approximately how much money do you think you spend per *month* playing the Powerball?,What is your *approximate* annual income?,How many people in your household (*including yourself*)?,Have you *ever* won *any* money from playing the Powerball?,What was the *largest* prize you have won while playing the PowerBall?,What was your approximate age when you won?,In what state did you purchase a* winning* Powerball ticket?,Have you purchased a *winning* Powerball ticket in *any other state*?,What *other state* did you purchase a* winning* Powerball ticket in?,Have you purchased a *winning* Powerball ticket in *any other state*?,What *other state* did you purchase a* winning* Powerball ticket in?,Have you purchased a *winning* Powerball ticket in *any other state*?,What type of vendor(s) have you purchased your *winning* Powerball tickets from?,In what state did you purchase a *non-winning* Powerball ticket from?,Have you purchased a *non-winning* Powerball ticket in *any other state*?,What *other state* did you purchase a* non-winning* Powerball ticket in?,Have you purchased a *non-winning* Powerball ticket in *any other state*?,What *other state* did you purchase a* non-winning* Powerball ticket in?,Have you purchased a *non-winning* Powerball ticket in *any other state*?,What *other state* did you purchase a* non-winning* Powerball ticket in?,Have you purchased a *non-winning* Powerball ticket in *any other state*?,What *other state* did you purchase a* non-winning* Powerball ticket in?,Have you purchased a *non-winning* Powerball ticket in *any other state*?,What *other state* did you purchase a* non-winning* Powerball ticket in?,What type of vendor(s) have you purchased *non-winning* Powerball tickets from?,What is your current age?,Submitted At
Male,"Yes, occasionally",Less than 2 times a month,Quick Pick (let the machine pick my numbers),Less than $10,"$50,000 - $78,950",2,TRUE,Less than $24.99,,Kansas,FALSE,,,,,Gas Station,Missouri,TRUE,Missouri,TRUE,Missouri,TRUE,Missouri,TRUE,Missouri,FALSE,,Gas Station,,6/3/2020 4:47
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 4:47
Male,"Yes, all the time",Every Drawing,Quick Pick (let the machine pick my numbers),$100 - $499,"$150,000 +",2,TRUE,$25 - $999,,Florida,FALSE,,,,,"Convenience Store, Grocery Store",Georgia,TRUE,Georgia,TRUE,Georgia,FALSE,,,,,,"Gas Station, Convenience Store, Grocery Store",,6/3/2020 4:31
Male,"Yes, occasionally",Almost never,Quick Pick (let the machine pick my numbers),Less than $10,"$19,401 - $49,999",4,FALSE,,,,,,,,,,Maryland,TRUE,Virginia,FALSE,,,,,,,,"Gas Station, Convenience Store, Grocery Store",,6/3/2020 4:30
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 4:16
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 3:57
Prefer not to answer,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 3:55
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 3:55
Male,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 3:52
Female,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2020 3:37
