Draw Date,No1,No2,No3,No4,No5,PB,Power Play,Jackpot,Winners,State1 ,State2 ,State3,State4
30th December 1992,1,11,18,30,41,12,0,$3.4 Million,R,,,,
26th December 1992,6,12,17,18,42,17,0,$2 Million,R,,,,
23rd December 1992,7,12,21,25,31,11,0,$10.4 Million,2,IA,MO,,
19th December 1992,11,16,32,37,39,27,0,$8.4 Million,R,,,,
16th December 1992,4,7,11,25,40,24,0,$6.4 Million,R,,,,
12th December 1992,9,28,40,42,44,12,0,$5 Million,R,,,,
9th December 1992,6,17,22,27,34,22,0,$3.4 Million,R,,,,
5th December 1992,9,17,19,40,41,31,0,$2 Million,R,,,,
2nd December 1992,1,4,26,35,42,28,0,$9 Million,1,IN,,,
28th November 1992,11,15,35,39,40,23,0,$7 Million,R,,,,
25th November 1992,10,12,14,20,26,35,0,$5.4 Million,R,,,,
21st November 1992,2,28,36,44,45,17,0,$3.8 Million,R,,,,
18th November 1992,15,27,31,35,45,7,0,$2 Million,R,,,,
14th November 1992,16,21,24,36,43,19,0,$22.1 Million,1,ID,,,
11th November 1992,4,31,34,38,44,39,0,$17.9 Million,R,,,,
7th November 1992,2,3,22,39,42,21,0,$14.9 Million,R,,,,
4th November 1992,6,8,9,22,30,36,0,$11.9 Million,R,,,,
31st October 1992,9,15,17,26,43,22,0,$9.6 Million,R,,,,
28th October 1992,1,4,10,18,36,28,0,$7.2 Million,R,,,,
24th October 1992,3,16,24,31,35,16,0,$5.5 Million,R,,,,
21st October 1992,6,23,26,28,29,36,0,$3.5 Million,R,,,,
17th October 1992,5,13,22,28,29,12,0,$2 Million,R,,,,
14th October 1992,18,20,23,34,40,2,0,$38.4 Million,1,OR,,,
10th October 1992,3,8,23,26,35,34,0,$29.5 Million,R,,,,
7th October 1992,9,10,20,31,34,10,0,$22.5 Million,R,,,,
3rd October 1992,18,36,39,40,43,5,0,$18 Million,R,,,,
30th September 1992,2,9,22,23,24,6,0,$14.3 Million,R,,,,
26th September 1992,17,24,40,44,45,14,0,$11.6 Million,R,,,,
23rd September 1992,12,18,20,26,40,11,0,$9.3 Million,R,,,,
19th September 1992,17,19,21,29,36,45,0,$7.5 Million,R,,,,
16th September 1992,9,13,25,33,34,20,0,$6 Million,R,,,,
12th September 1992,10,20,22,26,34,35,0,$4.8 Million,R,,,,
9th September 1992,12,17,27,33,37,37,0,$3.2 Million,R,,,,
5th September 1992,3,4,23,24,34,6,0,$2 Million,R,,,,
2nd September 1992,3,9,16,24,34,5,0,$10.7 Million,1,IN,,,
29th August 1992,14,17,30,32,41,27,0,$9.3 Million,R,,,,
26th August 1992,6,7,25,33,36,1,0,$7.5 Million,R,,,,
22nd August 1992,4,36,40,43,44,43,0,$6.2 Million,R,,,,
19th August 1992,2,5,9,11,17,41,0,$4.8 Million,R,,,,
15th August 1992,7,16,17,42,45,12,0,$3.5 Million,R,,,,
12th August 1992,2,3,6,11,23,33,0,$2 Million,R,,,,
8th August 1992,5,14,19,26,30,27,0,$10.3 Million,1,IN,,,
5th August 1992,8,15,21,26,38,6,0,$8.7 Million,R,,,,
1st August 1992,10,15,17,20,28,29,0,$7.3 Million,R,,,,
29th July 1992,1,12,29,35,42,29,0,$6 Million,R,,,,
25th July 1992,15,21,27,32,37,37,0,$4.8 Million,R,,,,
22nd July 1992,4,16,18,19,36,3,0,$3.3 Million,R,,,,
18th July 1992,2,5,18,19,35,40,0,$2 Million,R,,,,
15th July 1992,12,18,24,30,36,32,0,$4.7 Million,1,IN,,,
11th July 1992,9,11,24,28,44,20,0,$3.5 Million,R,,,,
8th July 1992,9,25,28,35,43,13,0,$2 Million,R,,,,
4th July 1992,5,7,15,22,45,31,0,$2 Million,1,WI,,,
1st July 1992,10,24,31,33,45,30,0,$6 Million,1,WI,,,
27th June 1992,17,23,24,31,35,25,0,$5 Million,R,,,,
24th June 1992,9,10,19,36,40,39,0,$3.3 Million,R,,,,
20th June 1992,7,11,15,21,35,12,0,$2 Million,R,,,,
17th June 1992,1,9,14,26,32,13,0,$10.8 Million,1,IN,,,
13th June 1992,13,27,29,42,43,41,0,$9 Million,R,,,,
10th June 1992,1,8,24,30,36,28,0,$6.8 Million,R,,,,
6th June 1992,2,6,9,10,42,20,0,$5.3 Million,R,,,,
3rd June 1992,1,2,11,19,30,15,0,$3.5 Million,R,,,,
30th May 1992,4,8,17,19,45,9,0,$2 Million,R,,,,
