Date,No1,No2,No3,No4,No5,PB,Power Play,Jackpot,Winners,State1 ,State2 ,State3,State4
1/30/2010,26,35,48,47,6,21,3,$92.5 Million,R,,,,
1/27/2010,15,26,31,6,20,9,5,$77.5 Million,R,,,,
1/23/2010,53,16,15,42,20,17,2,$65 Million,R,,,,
1/20/2010,46,15,43,44,32,19,4,$53.4 Million,R,,,,
1/16/2010,41,8,7,55,23,23,5,$41.9 Million,R,,,,
1/13/2010,32,15,8,11,50,27,3,$30.4 Million,R,,,,
1/9/2010,41,44,20,54,50,22,2,$25 Million,R,,,,
1/6/2010,56,27,29,20,58,31,2,$20 Million,R,,,,
1/2/2010,23,3,7,42,27,37,3,$25 Million,1,AR,,,
12/30/2009,5,52,14,38,39,6,3,$20 Million,R,,,,
12/26/2009,53,41,36,32,37,30,3,$128 Million,1,KY,,,
12/23/2009,52,8,49,51,32,23,4,$110 Million,R,,,,
12/19/2009,24,41,17,47,39,21,3,$92.9 Million,R,,,,
12/16/2009,23,43,25,35,13,15,5,$79.3 Million,R,,,,
12/12/2009,14,41,12,13,35,29,2,$66.8 Million,R,,,,
12/9/2009,58,12,5,1,13,21,5,$53.4 Million,R,,,,
12/5/2009,41,58,27,39,44,17,3,$42.5 Million,R,,,,
12/2/2009,37,46,14,34,55,37,4,$30.5 Million,R,,,,
11/28/2009,46,50,27,28,26,21,3,$25 Million,R,,,,
11/25/2009,18,13,4,59,49,5,2,$20 Million,R,,,,
11/21/2009,26,36,7,49,58,4,5,$32.8 Million,1,OK,,,
11/18/2009,58,59,32,50,42,31,4,$25 Million,R,,,,
11/14/2009,57,30,19,48,32,14,5,$20 Million,R,,,,
11/11/2009,12,8,22,29,14,22,2,$96.6 Million,1,KS,,,
11/7/2009,32,37,46,50,7,26,5,$82.6 Million,R,,,,
11/4/2009,51,10,45,11,14,17,3,$67.7 Million,R,,,,
10/31/2009,19,26,54,41,2,23,5,$55.3 Million,R,,,,
10/28/2009,51,46,26,3,11,23,5,$41.9 Million,R,,,,
10/24/2009,38,22,59,49,14,16,2,$31.6 Million,R,,,,
10/21/2009,34,51,45,6,16,4,2,$25 Million,R,,,,
10/17/2009,16,5,49,30,25,39,5,$20 Million,R,,,,
10/14/2009,15,30,5,40,25,6,2,$31.4 Million,1,WI,,,
10/10/2009,45,49,50,13,32,30,3,$25 Million,R,,,,
10/7/2009,2,50,38,21,20,22,3,$20 Million,R,,,,
10/3/2009,50,57,24,12,48,22,3,$189 Million,1,FL,,,
9/30/2009,52,54,41,42,57,30,3,$171 Million,R,,,,
9/26/2009,34,20,36,39,18,19,3,$150 Million,R,,,,
9/23/2009,7,8,29,20,25,11,5,$131 Million,R,,,,
9/19/2009,25,24,49,30,5,23,3,$114 Million,R,,,,
9/16/2009,17,56,37,40,51,25,2,$96.1 Million,R,,,,
