"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Net generation for all sectors","thousand megawatthours",,,,,,,,,,,,,,,,,,,,
"United States",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"New England",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Connecticut",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Connecticut : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-CT-99.A",30491,31311,29545,32633,33550,34682,33171,30409,31206,33350,33745,36118,35611,33677,37471,36497,34563,39454,40108
"Connecticut : coal","thousand megawatthours","ELEC.GEN.COW-CT-99.A",3736,3227,4200,4255,3996,4282,3739,4387,2453,2604,526,653,681,825,600,177,198,330,53
"Connecticut : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-CT-99.A",5173,2338,2063,1740,3156,1279,1311,514,299,409,166,112,306,513,437,92,178,339,81
"Connecticut : petroleum coke","thousand megawatthours","ELEC.GEN.PC-CT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Connecticut : natural gas","thousand megawatthours","ELEC.GEN.NG-CT-99.A",4088,8868,5062,8108,8864,10484,9930,8070,9809,11716,15188,16537,15780,14684,17362,17952,15961,20006,21187
"Connecticut : other gases","thousand megawatthours","ELEC.GEN.OOG-CT-99.A",1,9,0,0,2,2,2,0,0,14,"--","--","--","--","--","--","--","--","--"
"Connecticut : nuclear","thousand megawatthours","ELEC.GEN.NUC-CT-99.A",15428,14918,16078,16539,15562,16589,16386,15433,16657,16750,15928,17078,17080,15841,17411,16575,16500,16881,16733
"Connecticut : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-CT-99.A",286,335,564,463,478,544,363,556,510,391,567,312,402,434,302,224,332,555,522
"Connecticut : other renewables",,"ELEC.GEN.AOR-CT-99.A",,,,,,,,,,,,,,,,,,,
