"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"HVT3BUS","194913","323.365","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","195013","344.218","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","195113","356.131","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","195213","374.325","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","195313","374.015","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","195413","380.915","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","195513","396.597","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","195613","427.307","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","195713","455.017","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","195813","490.013","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","195913","481.619","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","196013","509.889","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","196113","530.69","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","196213","586.917","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","196313","576.594","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","196413","615.189","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","196513","672.111","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","196613","675.363","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","196713","767.525","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","196813","770.679","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","196913","864.834","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","197013","856.267","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","197113","919.641","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","197213","941.469","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","197313","939.769","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","197413","1037.971","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","197513","1034.357","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","197613","978.986","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","197713","762.919","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","197813","967.183","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","197913","965.855","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","198013","952.569","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","198113","900.238","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","198213","1065.82","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","198313","1144.012","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","198413","1106.55","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","198513","970.068","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","198613","1003.146","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","198713","862.745","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","198813","771.456","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","198913","927.985","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","199013","999.258","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","199113","986.048","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","199213","863.536","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","199313","957.046","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","199413","887.549","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","199513","1060.561","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","199613","1184.517","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","199713","1216.219","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","199813","1103.221","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","199913","1090.257","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","200013","940.254","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","200113","740.271","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","200213","901.89","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","200313","941.051","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","200413","915.84","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","200513","922.336","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","200613","986.909","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","200713","844.504","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","200813","869.485","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","200913","932.995","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","201013","887.813","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","201113","1089.639","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","201213","942.532","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","201313","916.345","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","201413","884.959","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","201513","849.861","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","201613","913.775","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","201713","1024.736","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","201813","998.092","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","201913","933.89","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVFJBUS","194913","1101.357","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","195013","1071.193","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","195113","1067.664","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","195213","1091.487","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
