"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"SODUBUS","194913","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","195013","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","195113","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","195213","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","195313","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","195413","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","195513","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","195613","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","195713","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","195813","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","195913","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","196013","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","196113","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","196213","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","196313","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","196413","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","196513","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","196613","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","196713","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","196813","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","196913","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","197013","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","197113","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","197213","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","197313","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","197413","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","197513","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","197613","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","197713","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","197813","Not Available","1","Solar Energy, Direct Consumption  ","Trillion Btu"
