Id,year,month,dow,hour,durations_in_secs,city,state,country,latitude,longitude,movement,shape_class
7930,2002,11,Mon,19.0,180.0,Los Angeles Area,CA,USA,34.017089,-118.28876000000001,1.0,Circular
55692,1999,7,Mon,23.0,1200.0,Elko/Carlin (Between; Near The Independence Mts.),NV,USA,40.713807,-116.10396599999999,0.0,Other
77135,1998,9,Wed,21.0,3.0,Houston,TX,USA,29.763055600000005,-95.3630556,0.0,Type of Light
25408,2006,1,Mon,18.0,30.0,Wellfleet,MA,USA,41.9375,-70.0333333,1.0,Other
43040,2008,5,Sun,20.0,20.0,Tucson,AZ,USA,32.2216667,-110.9258333,1.0,Geometric
57426,2010,7,Fri,21.0,180.0,Miami Township,OH,USA,39.612875,-84.248952,1.0,Multiple
66906,1999,8,Mon,2.0,5.0,Trapper Creek (10 Miles North Of),AK,Alaska,62.3166667,-150.23138889999998,1.0,Circular
69625,2011,8,Thr,20.0,40.0,Arlington,WA,USA,48.1988889,-122.1238889,1.0,Type of Light
37590,2008,4,Fri,,1200.0,Chattanooga,TN,USA,35.0455556,-85.30972220000001,0.0,Other
24408,2011,1,Mon,21.0,1.5,Wakefield,RI,USA,41.4372222,-71.5019444,1.0,Circular
78476,2008,9,Mon,21.0,300.0,Felton,DE,USA,39.0083333,-75.5783333,1.0,Multiple
73559,2003,9,Mon,17.0,300.0,Florence,KY,USA,38.9988889,-84.6266667,0.0,Other
65543,2012,8,Sun,4.0,30.0,Dorchester,SC,USA,33.1397222,-80.3944444,1.0,Other
24630,2014,1,Sat,18.0,1800.0,Norfolk,VA,USA,36.8466667,-76.2855556,1.0,Circular
17719,2006,12,Tue,21.0,600.0,San Diego,CA,USA,32.7152778,-117.1563889,1.0,Type of Light
27715,2008,2,Thr,20.0,3600.0,Oklahoma City,OK,USA,35.4675,-97.51611109999999,1.0,Circular
72466,2010,8,Sun,20.0,180.0,Coventry,CT,USA,41.77,-72.3055556,0.0,Non-Geometric
29984,2012,2,Wed,21.0,120.0,Bothell,WA,USA,47.7625,-122.20416670000002,0.0,Circular
45560,2012,5,Fri,23.0,2.0,South San Francisco,CA,USA,37.6547222,-122.40666670000002,1.0,Type of Light
75374,2009,9,Thr,1.0,600.0,Fairborn,OH,USA,39.8208333,-84.0194444,0.0,Other
6949,2010,10,Thr,,60.0,Clinton,WA,USA,47.9786111,-122.35444440000002,1.0,Non-Geometric
68616,2008,8,Sat,2.0,6.0,Stockton,CA,USA,37.9577778,-121.2897222,0.0,Type of Light
78670,2004,9,Thr,22.0,600.0,Davis,CA,USA,38.545,-121.73944440000001,0.0,Type of Light
58112,2010,7,Mon,22.0,60.0,Clemmons,NC,USA,36.0213889,-80.3822222,1.0,Circular
63797,2008,7,Tue,1.0,900.0,Sebago,ME,USA,43.88728,-70.677518,0.0,Circular
60338,2001,7,Sat,19.0,600.0,Garden City,KS,USA,37.9716667,-100.87222220000001,0.0,Type of Light
49678,1998,6,Wed,22.0,5.0,Corvallis,OR,USA,44.5647222,-123.26083329999999,1.0,Circular
75004,2012,9,Sat,21.0,120.0,Windham/Willimantic,CT,USA,41.710654,-72.208134,0.0,Type of Light
25879,2003,2,Sat,8.0,2.0,Dallas (Near??),TX,USA,32.7833333,-96.8,0.0,Multiple
53880,2003,6,Fri,23.0,120.0,Madison,WI,USA,43.0730556,-89.4011111,0.0,Circular
10638,2002,11,Tue,5.0,10.0,Baltimore,MD,USA,39.2902778,-76.6125,0.0,Multiple
76634,2005,9,Fri,21.0,1.0,Minneapolis,MN,USA,44.98,-93.26361109999999,0.0,Other
66931,2001,8,Thr,23.0,20.0,Grand Canyon,AZ,USA,36.054444399999994,-112.1386111,1.0,Geometric
75408,2011,9,Sat,5.0,120.0,Mehlville,MO,USA,38.5083333,-90.3227778,0.0,Circular
35675,2003,4,Thr,22.0,900.0,Milford,MI,USA,42.5936111,-83.5994444,0.0,Type of Light
38940,2014,4,Thr,21.0,10.0,Fountain Inn,SC,USA,34.6888889,-82.1958333,1.0,Type of Light
32779,2012,3,Wed,19.0,2.0,De Kalb,NY,USA,44.4988889,-75.3430556,0.0,Other
55096,2013,7,Thr,22.0,10.0,Baker,NV,USA,39.0133333,-114.12194440000002,1.0,Type of Light
26512,2013,2,Thr,20.0,300.0,Gallatin,TN,USA,36.3883333,-86.44666670000001,0.0,Circular
56041,2008,7,Sun,1.0,3600.0,Florence,AZ,USA,33.0313889,-111.3866667,1.0,Type of Light
32856,2005,3,Wed,16.0,20.0,Atascadero,CA,USA,35.4894444,-120.66972220000001,1.0,Non-Geometric
51425,2000,6,Sat,21.0,60.0,North Fork,CA,USA,37.2297222,-119.50861110000001,1.0,Type of Light
16231,2012,11,Thr,19.0,120.0,Farmington,MO,USA,37.7808333,-90.4216667,0.0,Type of Light
15453,2012,11,Tue,18.0,120.0,Boulder,CO,USA,40.015,-105.27,1.0,Type of Light
69554,2006,8,Fri,21.0,60.0,Croswell,MI,USA,43.275555600000004,-82.6211111,1.0,Other
55369,1997,7,Tue,1.0,5.0,Kilgore,TX,USA,32.3861111,-94.8755556,1.0,Circular
69947,2003,8,Wed,10.0,180.0,Eulonia,GA,USA,31.533055600000004,-81.4272222,0.0,Circular
42813,2013,5,Thr,18.0,60.0,Honolulu,HI,Hawaii,21.3069444,-157.8583333,0.0,Non-Geometric
21787,2013,12,Tue,21.0,120.0,North Seattle,WA,USA,47.71702,-122.30093400000001,1.0,Other
50115,2005,6,Sun,12.0,300.0,Albuquerque,NM,USA,35.0844444,-106.65055559999999,1.0,Other
49509,2002,6,Sun,20.0,300.0,Bossier City,LA,USA,32.5158333,-93.7319444,1.0,Type of Light
63088,2000,7,Thr,,15.0,Lincon City,OR,USA,44.958164,-124.01789099999999,0.0,Non-Geometric
28777,1999,2,Sat,18.0,600.0,Bishop (Towards&#44 On Route 395 North),CA,USA,37.3636111,-118.39416670000001,1.0,Type of Light
70707,2010,8,Mon,2.0,2.0,Woodland Hills/West Hills,CA,USA,34.197312,-118.64398100000001,1.0,Type of Light
